label,n,wr,avg,total,pf,sharpe,inr,n_h1,wr_h1,avg_h1,sh_h1,n_h2,wr_h2,avg_h2,sh_h2
live_baseline_same_day,309,49.8,0.97,298.9,1.44,2.68,63.0,201,48.8,0.97,2.68,108,51.9,0.96,2.67
live_mix_CE_exp_PE_1515,309,49.8,0.99,306.8,1.44,2.69,65.0,201,48.8,1.01,2.69,108,51.9,0.96,2.67
live_both_hold_expiry,309,49.8,1.0,309.1,1.45,2.71,65.0,201,48.8,1.02,2.72,108,51.9,0.96,2.67
live_control_PE_exp_CE_1515,309,49.8,0.97,301.2,1.44,2.7,63.0,201,48.8,0.98,2.71,108,51.9,0.96,2.67
live_baseline_CE,118,48.3,0.55,64.9,1.23,1.21,36.0,81,45.7,0.3,0.63,37,54.1,1.11,2.54
live_baseline_PE,191,50.8,1.23,234.0,1.59,2.86,80.0,120,50.8,1.43,3.34,71,50.7,0.88,2.04
