label,n,wr,avg,total,pf,sharpe,inr,n_h1,wr_h1,avg_h1,sh_h1,n_h2,wr_h2,avg_h2,sh_h2
live_baseline_same_day,309,49.5,14.84,4584.2,4.94,13.22,964.0,201,48.3,13.87,12.9,108,51.9,16.64,13.78
live_mix_CE_exp_PE_1515,309,49.8,15.17,4686.3,5.03,13.56,986.0,201,48.8,14.38,13.43,108,51.9,16.64,13.78
live_both_hold_expiry,309,49.8,15.24,4708.3,5.05,13.6,990.0,201,48.8,14.49,13.49,108,51.9,16.64,13.78
live_control_PE_exp_CE_1515,309,49.5,14.91,4606.2,4.96,13.26,969.0,201,48.3,13.98,12.96,108,51.9,16.64,13.78
live_baseline_CE,118,47.5,13.51,1594.1,4.48,9.5,878.0,81,44.4,11.65,8.41,37,54.1,17.57,11.82
live_baseline_PE,191,50.8,15.66,2990.1,5.24,10.78,1018.0,120,50.8,15.36,10.71,71,50.7,16.15,10.85
