day,dte,direction,entry,n0,S_exp,n_exp,pnl_day,pnl_exp
2021-08-16,1,SHORT,55449.4102,48.45384645157901,55816.2305,0.0,-20.82620208365347,-48.45384645157901
2021-08-30,1,LONG,56613.9883,70.73582697681377,57595.1797,100.0,38.09790277061802,29.26417302318623
2021-10-14,5,LONG,61113.2617,61.584839345148794,61614.2383,100.0,9.632091444000253,38.415160654851206
2021-11-22,1,SHORT,59167.0312,47.9408695960592,58638.9219,261.0780999999988,63.66971426548844,213.1372304039396
2021-11-26,4,SHORT,57810.0586,54.20076436502677,56952.7617,100.0,30.97460152131498,45.79923563497323
2021-12-07,0,LONG,57346.5312,80.9893186268664,57642.0195,257.98049999999785,176.99118137313144,176.99118137313144
2021-12-08,6,LONG,58395.5195,64.12402743141865,58129.9688,0.0,9.741339918229642,-64.12402743141865
2021-12-20,1,SHORT,55940.5195,49.35390854441903,56328.8984,0.0,6.711548988202594,-49.35390854441903
2021-12-21,0,LONG,56547.3516,81.37172247134458,56328.8984,0.0,-81.37172247134458,-81.37172247134458
2021-12-23,5,LONG,57383.6094,65.10515661651152,57901.8008,100.0,-3.22643669747049,34.89484338348848
2022-01-10,1,LONG,60211.3789,69.5894559321041,60588.9492,211.05079999999725,24.97821131105229,141.46134406789315
2022-02-01,0,LONG,58799.6289,87.60736112330778,58872.7109,172.71089999999822,85.10353887669044,85.10353887669044
2022-02-02,6,LONG,59418.3281,61.176143631568266,57769.4492,0.0,6.790572655692813,-61.176143631568266
2022-02-11,4,SHORT,58091.1484,50.50632649857471,58194.5195,0.0,-1.923116865895281,-50.50632649857471
2022-02-24,6,SHORT,55475.2891,51.60827414918094,55561.1992,0.0,36.633343128454726,-51.60827414918094
2022-02-25,5,LONG,55775.0312,65.17922557169004,55561.1992,0.0,6.612718487518578,-65.17922557169004
2022-03-02,6,SHORT,55329.6914,53.394345830975,53475.8203,100.0,-9.725096210924676,46.605654169025
2022-03-04,4,SHORT,54293.5703,50.082501434753794,53475.8203,100.0,1.1745546825059137,49.917498565246206
2022-03-10,5,LONG,55902.0,62.131605089231016,55796.1602,0.0,-18.630816329985464,-62.131605089231016
2022-03-17,5,LONG,57802.0508,61.763132428859535,58002.0,202.0,4.707109949686128,140.23686757114046
2022-03-30,6,LONG,58423.5781,61.548354041144194,60126.25,100.0,8.959297889141453,38.451645958855806
2022-04-04,1,LONG,60606.0195,69.07813278990761,60126.25,0.0,10.577225019122125,-69.07813278990761
2022-04-06,6,SHORT,59631.1289,53.2896613295452,58543.0781,100.0,1.4046433147705102,46.7103386704548
2022-04-18,1,SHORT,57229.5703,50.58394790688271,56295.4805,100.0,-3.0665314815378224,49.41605209311729
2022-04-21,5,LONG,57446.5898,63.61811883405244,57416.9219,16.921900000001187,18.597047146566183,-46.69621883405125
2022-04-22,4,SHORT,57354.5586,52.145965055688066,57416.9219,0.0,8.373610099242796,-52.145965055688066
2022-04-26,0,LONG,57308.6992,75.56150141302896,57416.9219,116.92190000000119,41.360398586972224,41.360398586972224
2022-05-05,5,LONG,56291.6914,65.71788214636763,54333.6914,0.0,-23.359443763445597,-65.71788214636763
2022-05-06,4,SHORT,54801.4297,54.633243177193435,54333.6914,266.30859999999666,-4.444004348390081,211.67535682280322
2022-05-12,5,SHORT,53242.6406,52.7701437806536,54337.75,0.0,12.813988045625592,-52.7701437806536
2022-05-17,0,LONG,53322.6914,78.52669027802222,54337.75,100.0,21.473309721977785,21.473309721977785
2022-05-20,4,LONG,53916.7891,64.41627891887947,54040.8984,140.89839999999822,20.469016106510026,76.48212108111875
2022-05-30,1,LONG,55838.5703,73.04855346835575,55488.5312,0.0,15.147194064966243,-73.04855346835575
2022-06-03,4,LONG,56365.0,66.04178533712911,55126.4688,0.0,-27.721900439331876,-66.04178533712911
2022-06-10,4,SHORT,54608.9492,54.26565263576413,52759.3008,100.0,19.988158899832342,45.73434736423587
2022-06-13,1,SHORT,52813.4688,51.00500740015832,52759.3008,0.0,-15.688698790102762,-51.00500740015832
2022-06-22,6,SHORT,51931.8008,53.32136327998887,53199.3594,0.0,6.557508279543981,-53.32136327998887
2022-06-24,4,LONG,52764.0703,67.03184945006433,53199.3594,100.64059999999881,-0.0992303662624181,33.608750549934484
2022-06-28,0,SHORT,52826.3398,39.98637060822148,53199.3594,0.0,-39.98637060822148,-39.98637060822148
2022-07-07,5,LONG,54078.0391,65.76821563962949,53833.3594,0.0,6.18269837353364,-65.76821563962949
2022-07-28,5,LONG,56450.2617,63.99805118869699,58152.4297,100.0,18.70504707674263,36.00194881130301
2022-07-29,4,LONG,57490.3594,66.85850887779452,58152.4297,100.0,7.401236498244543,33.14149112220548
2022-09-08,5,LONG,59579.5391,64.40484519567326,60532.0312,100.0,5.3031167732333415,35.59515480432674
2022-09-20,0,LONG,59857.9609,81.68817770475107,59708.7109,0.0,-81.68817770475107,-81.68817770475107
2022-09-26,1,SHORT,57251.9219,48.708996964542166,57175.1094,0.0,2.9317100155935805,-48.708996964542166
2022-10-04,0,LONG,58026.8008,77.99494490881352,58071.0391,71.03910000000178,-6.955844908811741,-6.955844908811741
2022-10-10,1,SHORT,57430.25,50.56815637186992,57119.2812,80.71880000000237,-45.06542251556894,30.150643628132457
2022-10-14,4,LONG,58240.8008,64.49045323905739,58965.1406,100.0,-15.195365269204558,35.50954676094261
2022-10-18,0,LONG,59117.0586,76.3717509508042,58965.1406,0.0,-76.3717509508042,-76.3717509508042
2022-11-11,4,LONG,61586.6719,65.61723558382437,61919.3281,180.6719000000012,9.682018868923478,115.05466441617682
2022-12-23,4,SHORT,60247.0703,52.562033054105996,60974.8906,0.0,19.574180524334224,-52.562033054105996
2023-02-01,6,LONG,59968.6016,62.826313269244565,60279.9492,220.05079999999725,-5.192469823126885,157.2244867307527
2023-02-03,4,LONG,60295.1211,66.29357270430773,60279.9492,79.94920000000275,22.846810480885324,13.655627295695012
2023-03-03,5,LONG,59434.4609,62.71292883852948,60368.4805,100.0,15.469070462673699,37.28707116147052
2023-08-02,6,SHORT,66103.53,54.05850952312903,65865.84,34.16000000000349,8.756768843511963,-19.89850952312554
2023-09-20,6,SHORT,67097.22,51.085672870915005,65972.63,100.0,9.187027717136516,48.914327129084995
2023-10-27,4,LONG,63695.03,65.43810191954253,63893.78,293.77999999999884,4.750611139130342,228.3418980804563
2023-11-06,1,LONG,64752.88,71.40892961288773,64943.15,243.15000000000146,26.045937673337903,171.74107038711372
2023-11-15,6,LONG,65537.88,60.77747105866001,65938.55,161.4499999999971,6.101849012786261,100.67252894133708
2023-12-14,5,LONG,70487.71,62.455110654307646,71422.7,100.0,1.8230979854779434,37.544889345692354
2024-01-17,6,SHORT,72326.24,53.195204337884206,70400.51,100.0,23.89860934648459,46.804795662115794
2024-01-18,5,SHORT,70792.94,51.15646708064014,70400.51,99.49000000000524,-13.800078061251043,48.3335329193651
2024-01-19,4,LONG,71826.5,61.35834142968088,70400.51,0.0,-3.6273812037179596,-61.35834142968088
2024-03-21,5,LONG,72705.91,59.569702017503005,72433.34,0.0,-0.7592695851053577,-59.569702017503005
2024-04-16,0,SHORT,73046.43,46.57526362744284,72961.94,0.0,-46.57526362744284,-46.57526362744284
2024-06-03,1,LONG,75978.1,69.99774708973928,72172.29,0.0,35.92683723476148,-69.99774708973928
2024-06-05,6,LONG,72268.48,60.64454586639113,76425.4,100.0,37.406031452239404,39.35545413360887
2024-06-06,5,LONG,74918.1,59.65622764715954,76425.4,100.0,6.349284738989809,40.34377235284046
2024-07-03,6,LONG,79974.77,59.76647286314619,80378.91,121.08999999999651,1.4137228458712343,61.323527136850316
2024-08-02,4,SHORT,81033.88,52.97416523989523,78614.08,100.0,1.2505041622862336,47.02583476010477
2024-10-03,5,SHORT,83492.83,51.26378326993654,81619.18,100.0,26.514743217445357,48.73621673006346
2025-02-03,1,SHORT,76820.17,53.274434342136374,78533.32,0.0,-28.308326751334334,-53.274434342136374
2025-02-04,0,LONG,77846.05,74.95518155466561,78533.32,100.0,25.044818445334386,25.044818445334386
2025-03-24,1,LONG,77559.29,68.58811230144056,77970.96,129.0399999999936,31.872492289025104,60.45188769855304
2025-04-01,0,SHORT,77146.21,47.62682440714707,76060.56,100.0,52.37317559285293,52.37317559285293
2025-04-11,4,LONG,75194.34,63.07826285264309,76719.61,100.0,-2.095577043353842,36.92173714735691
2025-05-07,6,SHORT,80560.38,52.13799017688507,81131.97,0.0,-4.675201805399411,-52.13799017688507
2025-05-09,4,SHORT,79432.86,53.03027226592167,81131.97,0.0,-1.2539798134603188,-53.03027226592167
2025-05-12,1,LONG,81689.78,69.28588486855733,81131.97,0.0,37.12096767689218,-69.28588486855733
2025-06-23,1,SHORT,81491.11,49.56734334716748,82125.83,0.0,-30.027699083766038,-49.56734334716748
2025-06-24,0,LONG,82684.98,77.03046745114261,82125.83,0.0,-77.03046745114261,-77.03046745114261
2025-07-31,5,SHORT,80835.83,52.83782524070193,80784.91,0.0,-8.977559697999823,-52.83782524070193
2025-08-18,1,LONG,81656.87,67.60267771723375,81660.31,60.30999999999767,-23.3614642900302,-7.292677717236074
2025-10-23,0,LONG,85169.83,75.13783772958413,84611.41,0.0,-75.13783772958413,-75.13783772958413
2026-02-13,6,SHORT,82873.11,51.79902946149741,82323.51,276.49000000000524,5.856196780958271,224.69097053850783
2026-03-04,1,SHORT,78568.31,50.60038691309637,79798.82,0.0,-34.10473689065998,-50.60038691309637
2026-03-09,3,SHORT,76658.52,52.15548107655195,76059.02,259.0200000000041,-35.52334754810545,206.86451892345212
2026-03-13,6,SHORT,75229.97,53.026431077694724,74313.09,100.0,19.103321317761583,46.973568922305276
2026-03-17,2,LONG,75812.27,63.37527741959639,74313.09,0.0,12.31921803280784,-63.37527741959639
2026-03-19,0,SHORT,75006.68,50.976203129836904,74313.09,113.08999999999651,62.113796870159604,62.113796870159604
2026-04-01,1,LONG,73920.87,67.1590929593076,73346.74,0.0,-53.75686929479366,-67.1590929593076
2026-04-02,0,SHORT,71653.79,45.431733764467936,73346.74,0.0,-45.431733764467936,-45.431733764467936
2026-04-10,6,LONG,77284.88,60.376643911135034,77906.54,100.0,8.001798021439754,39.623356088864966
2026-04-15,1,LONG,78126.55,66.66772999436944,77906.54,0.0,1.4692897646145866,-66.66772999436944
2026-04-30,0,SHORT,76466.92,45.526094721218215,76970.05,0.0,-45.526094721218215,-45.526094721218215
2026-05-11,3,SHORT,76312.31,53.89652679745268,75388.59,100.0,14.480978051222337,46.10347320254732
2026-05-18,3,SHORT,74340.64,52.8293616980518,75091.99,0.0,-34.94271774595836,-52.8293616980518
2026-06-15,3,LONG,76658.07,63.12315781100551,77458.65,100.0,-14.003522875009367,36.87684218899449
2026-06-19,6,SHORT,76696.75,51.19322530912177,77102.39,0.0,-4.410410976877756,-51.19322530912177
