day,direction,dte,reason,pnl_v2,pnl_day,pnl_exp,n0
2021-07-01,SHORT,0,TARGET,2.1051364180721066,20.35238156827336,20.35238156827336,-0.552381568274086
2021-07-05,LONG,3,HARD_EXIT,3.399950498326689,3.399950498326689,12.20420578019366,-12.20420578019366
2021-07-08,SHORT,0,TARGET,1.9531672676989729,8.142463438030973,8.142463438030973,0.6575365619682998
2021-08-11,SHORT,1,TARGET,0.7752161346834328,4.987896252935116,7.291008342813257,-7.291008342813257
2021-08-23,SHORT,3,TARGET,0.30719640091774636,0.9019634033247712,12.374305946076674,-11.77430594607813
2021-08-26,LONG,0,STOP,3.60746300207893,1.330194444024528,1.330194444024528,-1.330194444024528
2021-08-30,LONG,3,TARGET,0.21942889107231167,1.650284576852755,11.851196123342561,-11.851196123342561
2021-09-15,LONG,1,TARGET,0.6568142877131322,5.410698618208926,29.38017413751504,-6.579374137514151
2021-09-23,LONG,0,TARGET,1.8216939248945891,1.4298755986633296,1.4298755986633296,-1.4298755986633296
2021-10-13,LONG,1,TARGET,0.6080030155399072,5.030284545768609,9.412461400286702,-9.412461400286702
2021-11-11,SHORT,0,TARGET,1.6941810939147217,18.705735239561363,18.705735239561363,0.09506476043952716
2021-12-13,LONG,3,STOP,-1.2894942495786381,-0.3847155190906051,19.227524714458923,-11.37792471445755
2021-12-13,SHORT,3,TARGET,0.30896637324622134,1.5827600319398698,11.525885397644743,-11.525885397644743
2021-12-30,LONG,0,STOP,0.2985484552784783,5.878144732467263,5.878144732467263,0.47145526753411104
2021-12-31,LONG,6,TARGET,0.08152433899340394,-0.0034266270376974717,15.084084983660432,-15.084084983660432
2022-01-10,LONG,3,STOP,-1.345821779956168,0.851014903106261,25.65345899293152,-12.45425899293241
2022-01-10,SHORT,3,STOP,-1.3530109473495031,0.14182628501839645,11.154248316141093,-11.154248316141093
2022-01-14,LONG,6,STOP,1.3273789701725036,0.7558802850126085,29.862571377952918,-15.762971377951544
2022-01-14,SHORT,6,STOP,1.3729734323424054,0.43630462702458317,15.932917367490518,-15.932917367490518
2022-01-31,LONG,3,STOP,1.8933616348231226,3.3573064473848717,13.70154696033569,-13.70154696033569
2022-02-17,SHORT,0,TARGET,1.6893600925757255,17.135820850749724,17.135820850749724,0.5633791492493856
2022-04-01,LONG,6,TARGET,0.08802282105989434,-0.12609590390547964,14.210433274140087,-14.210433274140087
2022-04-18,LONG,3,STOP,1.8511547900679943,2.804084306432742,12.61877371553419,-12.61877371553419
2022-04-18,SHORT,3,TARGET,0.2825235550371872,1.4446359004568876,23.514302739776213,-13.113902739777586
2022-05-06,LONG,6,STOP,-1.2049170730160768,-1.3776567899503789,36.23071823697501,-14.080318236974563
2022-05-06,SHORT,6,TARGET,0.1581472532625412,1.2764921107000191,14.264939038573175,-14.264939038573175
2022-05-25,SHORT,1,STOP,2.7736175237751013,4.960169706293982,20.44581929995047,-7.5454192999500265
2022-06-02,LONG,0,TARGET,1.950343900975895,2.079235512561354,2.079235512561354,-2.079235512561354
2022-06-16,SHORT,0,TARGET,1.6358796327253913,-0.851661642518593,-0.851661642518593,1.9512616425181477
2022-06-21,LONG,2,TARGET,0.37271017342800405,1.8220322325150846,15.205768868998803,-8.305368868998357
2022-06-29,LONG,1,TARGET,0.6751525730760477,6.179964891572354,26.39512099093008,-6.545520990930527
