n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,hard,side,first_only,dte_min,n_tgt,n_stp,n_hard,n_trail,pass
127,51.2,1.39,180.6,1.42,2.79,77,46.8,1.41,50,58.0,5.37,quiet_or4070,fly_trail_12_5,1430,BOTH,False,0,0,19,91,17,True
332,55.1,1.25,224.1,0.68,2.78,161,56.5,2.93,171,53.8,2.6,or29_quiet_h2,fly_mtm_6_6,1430,BOTH,False,0,139,113,80,0,True
127,59.1,1.31,116.0,0.91,2.77,77,57.1,1.72,50,62.0,4.5,quiet_or4070,fly_mtm_6_10,1515,BOTH,False,0,61,24,42,0,True
154,55.8,1.32,148.2,0.96,2.77,93,55.9,3.19,61,55.7,2.21,quiet_e1030,fly_mtm_6_8,1515,BOTH,False,0,78,40,36,0,True
152,53.9,1.51,141.5,0.93,2.77,93,52.7,2.77,59,55.9,2.79,quiet_mid,fly_spot_40_25,1430,BOTH,False,0,79,68,5,0,True
187,52.9,1.39,219.4,1.17,2.77,112,53.6,2.92,75,52.0,2.51,quiet,fly_trail_8_5,1430,BOTH,False,0,0,46,101,40,True
286,51.4,1.5,185.6,0.65,2.77,179,48.6,2.6,107,56.1,3.06,diraware,fly_spot_30_20,1515,BOTH,False,0,148,137,1,0,True
205,50.2,1.25,148.6,0.72,2.77,121,52.9,3.83,84,46.4,1.25,quiet_h2,fly_mtm_8_6,1430,BOTH,False,0,75,79,51,0,True
127,51.2,1.4,198.0,1.56,2.76,77,46.8,1.94,50,58.0,4.36,quiet_or4070,fly_trail_16_5,1430,BOTH,False,0,0,12,100,15,True
152,55.3,1.45,231.6,1.52,2.73,93,55.9,3.21,59,54.2,1.97,quiet_mid,fly_frac_0.4_0.5,1430,BOTH,False,0,41,21,90,0,True
152,52.6,1.38,173.1,1.14,2.71,93,53.8,3.11,59,50.8,2.14,quiet_mid,fly_side_10_8_6_6,1515,BOTH,False,0,58,51,43,0,True
154,53.2,1.37,175.0,1.14,2.7,93,53.8,2.86,61,52.5,2.6,quiet_e1030,fly_trail_8_3,1430,BOTH,False,0,0,40,64,50,True
152,52.6,1.38,207.9,1.37,2.7,93,52.7,3.16,59,52.5,2.08,quiet_mid,fly_side_14_10_8_10,1515,BOTH,False,0,51,38,63,0,True
187,50.3,1.32,231.7,1.24,2.7,112,50.0,3.04,75,50.7,2.15,quiet,fly_side_20_10_8_10,1515,BOTH,False,0,50,49,88,0,True
205,51.2,1.37,257.5,1.26,2.68,121,54.5,4.12,84,46.4,0.11,quiet_h2,fly_trail_8_8,1430,BOTH,False,0,0,64,106,35,True
152,50.7,1.47,283.3,1.86,2.68,93,50.5,3.44,59,50.8,1.52,quiet_mid,fly_mtm_25_12,1430,BOTH,False,0,16,24,112,0,True
127,50.4,1.43,219.5,1.73,2.68,77,46.8,1.55,50,56.0,5.5,quiet_or4070,fly_trail_12_5,1515,BOTH,False,0,0,24,79,24,True
427,50.4,1.33,197.5,0.46,2.68,274,51.5,2.85,153,48.4,2.31,lhhl_h2,fly_spot_30_20,1515,BOTH,False,0,214,211,2,0,True
154,53.9,1.33,153.1,0.99,2.67,93,54.8,3.53,61,52.5,1.67,quiet_e1030,fly_mtm_8_8,1430,BOTH,False,0,59,40,55,0,True
152,53.3,1.39,167.0,1.1,2.67,93,53.8,2.93,59,52.5,2.27,quiet_mid,fly_side_10_8_6_6,1430,BOTH,False,0,50,44,58,0,True
127,52.0,1.42,217.3,1.71,2.67,77,49.4,2.68,50,56.0,2.66,quiet_or4070,fly_frac_0.8_0.5,1430,BOTH,False,0,13,23,91,0,True
171,59.1,1.3,148.9,0.87,2.66,104,59.6,2.83,67,58.2,2.45,quiet_e1100,fly_mtm_6_10,1430,BOTH,False,0,82,31,58,0,True
152,55.3,1.35,162.5,1.07,2.66,93,55.9,3.13,59,54.2,2.13,quiet_mid,fly_mtm_8_10,1430,BOTH,False,0,59,28,65,0,True
127,51.2,1.34,163.8,1.29,2.65,77,46.8,1.36,50,58.0,5.16,quiet_or4070,fly_mtm_16_15,1430,BOTH,False,0,25,14,88,0,True
332,54.5,1.23,216.8,0.65,2.64,161,55.9,2.5,171,53.2,2.77,or29_quiet_h2,fly_mtm_6_6,1515,BOTH,False,0,148,123,61,0,True
152,52.6,1.38,195.5,1.29,2.64,93,52.7,3.19,59,52.5,1.92,quiet_mid,fly_side_14_10_8_10,1430,BOTH,False,0,45,32,75,0,True
188,51.6,1.27,185.1,0.98,2.64,111,53.2,4.42,77,49.4,0.62,quiet_h2_e1030,fly_trail_8_3,1515,BOTH,False,0,0,66,55,67,True
188,52.1,1.26,182.7,0.97,2.63,111,53.2,3.7,77,50.6,1.17,quiet_h2_e1030,fly_side_16_10_8_8,1430,BOTH,False,0,53,60,75,0,True
127,50.4,1.37,182.5,1.44,2.63,77,46.8,2.16,50,56.0,3.5,quiet_or4070,fly_mtm_20_15,1430,BOTH,False,0,15,15,97,0,True
306,53.9,1.42,336.4,1.1,2.61,152,54.6,2.86,154,53.2,2.39,or29_quiet,fly_trail_6_5,1430,BOTH,False,0,0,97,137,72,True
127,55.1,1.34,178.9,1.41,2.59,77,53.2,1.24,50,58.0,5.31,quiet_or4070,fly_frac_0.4_0.5,1515,BOTH,False,0,38,26,63,0,True
152,52.0,1.44,248.0,1.63,2.59,93,52.7,3.64,59,50.8,0.91,quiet_mid,fly_frac_0.6_0.5,1430,BOTH,False,0,26,25,101,0,True
306,52.6,1.51,432.8,1.41,2.58,152,53.9,2.8,154,51.3,2.37,or29_quiet,fly_trail_6_5,1515,BOTH,False,0,0,109,107,90,True
187,53.5,1.31,174.1,0.93,2.56,112,53.6,2.54,75,53.3,2.64,quiet,fly_trail_8_3,1430,BOTH,False,0,0,46,86,55,True
187,51.9,1.3,193.8,1.04,2.56,112,50.9,2.5,75,53.3,2.61,quiet,fly_side_16_10_8_8,1430,BOTH,False,0,48,49,90,0,True
187,53.5,1.29,171.2,0.92,2.55,112,53.6,3.13,75,53.3,1.76,quiet,fly_side_12_8_6_8,1430,BOTH,False,0,59,51,77,0,True
188,52.1,1.26,168.5,0.9,2.55,111,55.0,4.76,77,48.1,0.34,quiet_h2_e1030,fly_trail_8_3,1430,BOTH,False,0,0,61,70,57,True
389,51.4,1.43,448.1,1.15,2.54,252,50.8,2.82,137,52.6,1.91,lhhl,fly_trail_6_5,1430,BOTH,False,0,0,128,175,86,True
152,50.7,1.39,248.8,1.64,2.53,93,50.5,3.08,59,50.8,1.67,quiet_mid,fly_side_25_12_10_10,1515,BOTH,False,0,33,39,80,0,True
187,54.0,1.28,156.9,0.84,2.52,112,54.5,2.93,75,53.3,2.07,quiet,fly_mtm_8_8,1430,BOTH,False,0,66,46,75,0,True
154,52.6,1.31,150.2,0.98,2.52,93,53.8,3.29,61,50.8,1.6,quiet_e1030,fly_mtm_8_8,1515,BOTH,False,0,67,43,44,0,True
127,52.0,1.35,202.7,1.6,2.52,77,50.6,2.34,50,54.0,2.85,quiet_or4070,fly_frac_0.6_0.5,1515,BOTH,False,0,24,30,73,0,True
127,55.1,1.29,117.1,0.92,2.51,77,51.9,0.88,50,60.0,5.38,quiet_or4070,fly_mtm_8_10,1515,BOTH,False,0,51,25,51,0,True
171,55.0,1.27,155.7,0.91,2.51,104,54.8,2.43,67,55.2,2.62,quiet_e1100,fly_mtm_8_10,1515,BOTH,False,0,73,38,60,0,True
306,53.9,1.36,339.7,1.11,2.5,152,53.3,2.3,154,54.5,2.68,or29_quiet,fly_trail_8_5,1430,BOTH,False,0,0,77,168,61,True
205,51.7,1.29,202.4,0.99,2.5,121,54.5,4.03,84,47.6,0.24,quiet_h2,fly_trail_8_5,1430,BOTH,False,0,0,64,98,43,True
205,50.2,1.35,256.6,1.25,2.5,121,52.1,3.68,84,47.6,0.19,quiet_h2,fly_trail_8_5,1515,BOTH,False,0,0,69,80,56,True
152,55.3,1.31,158.2,1.04,2.49,93,55.9,2.99,59,54.2,1.97,quiet_mid,fly_mtm_8_10,1515,BOTH,False,0,68,34,50,0,True
127,50.4,1.38,230.3,1.81,2.49,77,48.1,2.22,50,54.0,3.07,quiet_or4070,fly_frac_0.8_0.5,1515,BOTH,False,0,18,32,77,0,True
205,54.6,1.21,117.2,0.57,2.48,121,57.0,3.46,84,51.2,1.09,quiet_h2,fly_mtm_6_6,1430,BOTH,False,0,88,74,43,0,True
306,52.9,1.3,251.6,0.82,2.48,152,52.6,3.04,154,53.2,2.0,or29_quiet,fly_mtm_8_6,1430,BOTH,False,0,92,103,111,0,True
152,50.7,1.43,265.5,1.75,2.48,93,50.5,3.41,59,50.8,1.11,quiet_mid,fly_mtm_25_15,1430,BOTH,False,0,16,17,119,0,True
389,51.9,1.33,364.9,0.94,2.47,252,50.8,2.66,137,54.0,2.07,lhhl,fly_trail_6_3,1515,BOTH,False,0,0,140,117,132,True
152,51.3,1.4,228.2,1.5,2.47,93,51.6,3.6,59,50.8,0.69,quiet_mid,fly_side_25_12_10_10,1430,BOTH,False,0,29,30,93,0,True
152,52.0,1.43,277.6,1.83,2.45,93,50.5,2.26,59,54.2,2.81,quiet_mid,fly_trail_12_5,1515,BOTH,False,0,0,32,90,30,True
171,50.3,1.31,172.9,1.01,2.45,104,49.0,2.59,67,52.2,2.22,quiet_e1100,fly_mtm_12_8,1430,BOTH,False,0,39,49,83,0,True
171,57.9,1.26,140.6,0.82,2.44,104,57.7,2.5,67,58.2,2.34,quiet_e1100,fly_mtm_6_10,1515,BOTH,False,0,87,37,47,0,True
306,54.6,1.28,230.1,0.75,2.44,152,54.6,2.82,154,54.5,2.1,or29_quiet,fly_mtm_6_6,1515,BOTH,False,0,136,109,61,0,True
306,54.2,1.31,260.9,0.85,2.44,152,53.9,2.49,154,54.5,2.4,or29_quiet,fly_trail_6_3,1515,BOTH,False,0,0,109,89,108,True
152,51.3,1.48,400.9,2.64,2.44,93,49.5,1.99,59,54.2,3.21,quiet_mid,fly_frac_1.0_0.8,1515,BOTH,False,0,21,25,106,0,True
188,51.1,1.24,177.9,0.95,2.44,111,51.4,3.23,77,50.6,1.29,quiet_h2_e1030,fly_side_16_10_8_8,1515,BOTH,False,0,58,67,63,0,True
306,57.5,1.25,230.1,0.75,2.43,152,57.9,2.72,154,57.1,2.14,or29_quiet,fly_mtm_6_8,1515,BOTH,False,0,142,82,82,0,True
306,55.6,1.28,224.5,0.73,2.43,152,55.3,2.97,154,55.8,1.95,or29_quiet,fly_mtm_6_6,1430,BOTH,False,0,124,97,85,0,True
127,50.4,1.34,184.0,1.45,2.43,77,46.8,1.78,50,56.0,3.66,quiet_or4070,fly_mtm_25_20,1430,BOTH,False,0,13,9,105,0,True
389,51.9,1.31,405.3,1.04,2.42,252,51.2,2.62,137,53.3,1.99,lhhl,fly_trail_8_3,1515,BOTH,False,0,0,111,168,110,True
187,51.3,1.29,195.5,1.05,2.42,112,50.9,2.83,75,52.0,1.73,quiet,fly_side_20_10_8_10,1430,BOTH,False,0,41,42,104,0,True
171,50.9,1.35,244.0,1.43,2.42,104,50.0,2.54,67,52.2,2.22,quiet_e1100,fly_mtm_25_12,1430,BOTH,False,0,17,31,123,0,True
127,55.9,1.28,111.7,0.88,2.4,77,53.2,1.29,50,60.0,4.04,quiet_or4070,fly_mtm_8_12,1430,BOTH,False,0,49,17,61,0,True
152,55.3,1.36,217.6,1.43,2.4,93,54.8,2.0,59,55.9,3.06,quiet_mid,fly_frac_0.4_0.5,1515,BOTH,False,0,49,30,73,0,True
152,52.0,1.38,251.3,1.65,2.4,93,51.6,2.71,59,52.5,1.89,quiet_mid,fly_frac_0.6_0.5,1515,BOTH,False,0,30,35,87,0,True
389,50.4,1.37,488.3,1.26,2.4,252,50.0,2.88,137,51.1,1.18,lhhl,fly_trail_8_5,1515,BOTH,False,0,0,111,187,91,True
306,53.3,1.42,416.4,1.36,2.39,152,54.6,2.38,154,51.9,2.4,or29_quiet,fly_trail_8_5,1515,BOTH,False,0,0,88,143,75,True
152,57.9,1.31,135.4,0.89,2.38,93,59.1,3.03,59,55.9,1.67,quiet_mid,fly_mtm_6_10,1430,BOTH,False,0,73,26,53,0,True
127,52.0,1.28,114.3,0.9,2.38,77,46.8,0.8,50,60.0,5.18,quiet_or4070,fly_mtm_10_10,1430,BOTH,False,0,35,22,70,0,True
127,50.4,1.28,122.3,0.96,2.38,77,45.5,1.09,50,58.0,5.09,quiet_or4070,fly_mtm_12_10,1430,BOTH,False,0,31,24,72,0,True
127,50.4,1.34,167.6,1.32,2.38,77,46.8,2.1,50,56.0,2.91,quiet_or4070,fly_trail_12_8,1430,BOTH,False,0,0,19,94,14,True
187,52.9,1.26,153.2,0.82,2.37,112,53.6,2.67,75,52.0,2.01,quiet,fly_mtm_8_8,1515,BOTH,False,0,74,50,63,0,True
152,50.7,1.39,236.9,1.56,2.36,93,50.5,3.0,59,50.8,1.43,quiet_mid,fly_mtm_20_12,1430,BOTH,False,0,19,24,109,0,True
152,56.6,1.31,151.8,1.0,2.34,93,57.0,2.97,59,55.9,1.63,quiet_mid,fly_mtm_8_12,1430,BOTH,False,0,60,18,74,0,True
306,52.9,1.27,284.2,0.93,2.34,152,51.3,2.96,154,54.5,1.75,or29_quiet,fly_side_16_10_8_8,1430,BOTH,False,0,72,80,154,0,True
127,51.2,1.29,136.4,1.07,2.34,77,46.8,1.14,50,58.0,4.62,quiet_or4070,fly_mtm_14_12,1430,BOTH,False,0,28,19,80,0,True
332,50.6,1.22,220.2,0.66,2.34,161,51.6,2.51,171,49.7,2.14,or29_quiet_h2,fly_mtm_8_6,1515,BOTH,False,0,118,134,80,0,True
332,50.6,1.22,215.9,0.65,2.34,161,52.2,2.84,171,49.1,1.83,or29_quiet_h2,fly_mtm_8_6,1430,BOTH,False,0,109,123,100,0,True
127,59.8,1.26,98.2,0.77,2.33,77,58.4,1.71,50,62.0,3.17,quiet_or4070,fly_mtm_6_12,1430,BOTH,False,0,60,17,50,0,True
154,51.3,1.29,159.8,1.04,2.33,93,50.5,2.48,61,52.5,2.12,quiet_e1030,fly_side_16_10_8_8,1430,BOTH,False,0,43,43,68,0,True
306,55.2,1.3,239.7,0.78,2.32,152,54.6,2.52,154,55.8,2.17,or29_quiet,fly_trail_6_3,1430,BOTH,False,0,0,97,116,93,True
152,50.7,1.4,252.3,1.66,2.32,93,50.5,3.1,59,50.8,1.13,quiet_mid,fly_mtm_25_20,1430,BOTH,False,0,16,8,128,0,True
306,52.9,1.26,289.8,0.95,2.31,152,53.3,3.05,154,52.6,1.57,or29_quiet,fly_side_16_10_8_8,1515,BOTH,False,0,80,91,135,0,True
332,52.1,1.29,316.9,0.95,2.31,161,54.0,3.0,171,50.3,1.66,or29_quiet_h2,fly_trail_8_5,1430,BOTH,False,0,0,100,165,67,True
152,51.3,1.37,213.9,1.41,2.31,93,50.5,2.4,59,52.5,2.15,quiet_mid,fly_mtm_16_12,1430,BOTH,False,0,28,23,101,0,True
152,51.3,1.38,235.6,1.55,2.29,93,50.5,2.64,59,52.5,1.73,quiet_mid,fly_trail_16_3,1430,BOTH,False,0,0,13,118,21,True
171,50.9,1.3,182.3,1.07,2.29,104,49.0,1.92,67,53.7,2.83,quiet_e1100,fly_mtm_14_10,1430,BOTH,False,0,34,39,98,0,True
152,50.7,1.39,274.8,1.81,2.29,93,50.5,2.7,59,50.8,1.56,quiet_mid,fly_frac_0.8_0.5,1515,BOTH,False,0,22,37,93,0,True
152,50.7,1.4,239.7,1.58,2.29,93,51.6,3.19,59,49.2,0.83,quiet_mid,fly_frac_0.8_0.5,1430,BOTH,False,0,16,26,110,0,True
332,52.1,1.34,396.9,1.2,2.28,161,54.0,2.86,171,50.3,1.69,or29_quiet_h2,fly_trail_8_5,1515,BOTH,False,0,0,111,134,87,True
127,51.2,1.29,132.9,1.05,2.26,77,46.8,0.38,50,58.0,5.25,quiet_or4070,fly_trail_12_3,1430,BOTH,False,0,0,19,84,24,True
187,51.3,1.26,150.6,0.81,2.25,112,52.7,3.16,75,49.3,1.14,quiet,fly_side_10_8_6_6,1515,BOTH,False,0,68,65,54,0,True
152,51.3,1.37,215.2,1.42,2.23,93,50.5,2.31,59,52.5,2.09,quiet_mid,fly_trail_12_5,1430,BOTH,False,0,0,23,107,22,True
152,52.6,1.4,119.2,0.78,2.21,93,50.5,1.95,59,55.9,2.79,quiet_mid,fly_spot_40_25,1515,BOTH,False,0,79,71,2,0,True
152,51.3,1.37,228.2,1.5,2.21,93,50.5,2.61,59,52.5,1.59,quiet_mid,fly_trail_16_5,1430,BOTH,False,0,0,13,121,18,True
171,50.9,1.32,226.9,1.33,2.21,104,50.0,2.59,67,52.2,1.6,quiet_e1100,fly_mtm_25_15,1430,BOTH,False,0,17,23,131,0,True
152,57.9,1.27,130.1,0.86,2.2,93,59.1,2.93,59,55.9,1.43,quiet_mid,fly_mtm_6_10,1515,BOTH,False,0,78,32,42,0,True
306,54.6,1.24,226.8,0.74,2.2,152,53.9,2.58,154,55.2,1.88,or29_quiet,fly_mtm_8_8,1430,BOTH,False,0,97,77,132,0,True
188,52.7,1.2,121.3,0.65,2.2,111,55.0,3.85,77,49.4,0.33,quiet_h2_e1030,fly_side_10_8_6_6,1430,BOTH,False,0,65,68,55,0,True
188,50.5,1.22,163.7,0.87,2.2,111,50.5,3.07,77,50.6,1.0,quiet_h2_e1030,fly_mtm_14_10,1430,BOTH,False,0,41,54,93,0,True
332,50.9,1.3,335.5,1.01,2.19,161,52.8,2.96,171,49.1,1.31,or29_quiet_h2,fly_trail_8_8,1430,BOTH,False,0,0,100,176,56,True
154,50.6,1.29,164.9,1.07,2.19,93,50.5,2.88,61,50.8,1.15,quiet_e1030,fly_side_20_10_8_10,1430,BOTH,False,0,37,37,80,0,True
306,57.2,1.23,199.5,0.65,2.18,152,56.6,2.48,154,57.8,1.89,or29_quiet,fly_mtm_6_8,1430,BOTH,False,0,129,73,104,0,True
188,50.5,1.2,135.1,0.72,2.18,111,51.4,3.98,77,49.4,0.11,quiet_h2_e1030,fly_mtm_10_8,1430,BOTH,False,0,55,64,69,0,True
171,51.5,1.29,193.4,1.13,2.17,104,51.0,2.69,67,52.2,1.32,quiet_e1100,fly_side_25_12_10_10,1430,BOTH,False,0,31,36,104,0,True
127,51.2,1.25,110.4,0.87,2.17,77,46.8,0.34,50,58.0,5.46,quiet_or4070,fly_mtm_10_10,1515,BOTH,False,0,41,28,58,0,True
188,52.7,1.19,103.0,0.55,2.16,111,54.1,2.79,77,50.6,1.17,quiet_h2_e1030,fly_mtm_6_6,1515,BOTH,False,0,88,72,28,0,True
152,50.7,1.32,207.1,1.36,2.16,93,48.4,1.71,59,54.2,2.82,quiet_mid,fly_mtm_16_12,1515,BOTH,False,0,32,33,87,0,True
152,50.7,1.37,257.6,1.69,2.16,93,48.4,2.12,59,54.2,2.23,quiet_mid,fly_trail_16_5,1515,BOTH,False,0,0,18,112,22,True
152,50.7,1.35,219.0,1.44,2.16,93,50.5,2.97,59,50.8,1.01,quiet_mid,fly_mtm_20_15,1430,BOTH,False,0,19,17,116,0,True
332,50.6,1.37,434.0,1.31,2.16,161,52.8,2.92,171,48.5,1.29,or29_quiet_h2,fly_trail_8_8,1515,BOTH,False,0,0,111,148,73,True
306,54.2,1.26,243.7,0.8,2.15,152,53.3,1.95,154,55.2,2.32,or29_quiet,fly_trail_8_3,1430,BOTH,False,0,0,77,150,79,True
154,50.6,1.26,138.0,0.9,2.15,93,50.5,2.44,61,50.8,1.78,quiet_e1030,fly_side_12_8_6_8,1515,BOTH,False,0,55,47,52,0,True
171,57.3,1.24,135.3,0.79,2.14,104,57.7,2.46,67,56.7,1.8,quiet_e1100,fly_mtm_8_12,1430,BOTH,False,0,65,24,82,0,True
389,51.4,1.32,387.3,1.0,2.14,252,50.4,2.31,137,53.3,1.75,lhhl,fly_trail_8_5,1430,BOTH,False,0,0,98,216,75,True
187,52.9,1.25,139.8,0.75,2.13,112,53.6,2.93,75,52.0,1.16,quiet,fly_side_10_8_6_6,1430,BOTH,False,0,59,59,69,0,True
187,50.8,1.23,166.4,0.89,2.13,112,50.0,2.03,75,52.0,2.25,quiet,fly_side_14_10_8_10,1515,BOTH,False,0,57,48,82,0,True
152,57.2,1.26,142.3,0.94,2.12,93,57.0,2.28,59,57.6,1.95,quiet_mid,fly_mtm_8_12,1515,BOTH,False,0,69,27,56,0,True
306,53.9,1.25,251.7,0.82,2.12,152,54.6,2.11,154,53.2,2.13,or29_quiet,fly_trail_8_3,1515,BOTH,False,0,0,88,128,90,True
306,51.3,1.25,220.4,0.72,2.12,152,52.0,2.61,154,50.6,1.68,or29_quiet,fly_mtm_8_6,1515,BOTH,False,0,103,116,87,0,True
152,51.3,1.39,262.6,1.73,2.12,93,50.5,2.67,59,52.5,1.04,quiet_mid,fly_trail_12_8,1515,BOTH,False,0,0,32,93,27,True
389,53.2,1.29,305.2,0.78,2.11,252,52.0,2.0,137,55.5,2.32,lhhl,fly_trail_6_3,1430,BOTH,False,0,0,128,145,116,True
205,50.7,1.21,153.6,0.75,2.11,121,52.1,3.32,84,48.8,0.6,quiet_h2,fly_trail_8_3,1515,BOTH,False,0,0,69,68,68,True
152,56.6,1.28,140.0,0.92,2.1,93,57.0,2.92,59,55.9,1.19,quiet_mid,fly_mtm_8_15,1430,BOTH,False,0,60,12,80,0,True
205,51.7,1.2,150.5,0.73,2.1,121,52.9,2.8,84,50.0,1.1,quiet_h2,fly_side_16_10_8_8,1430,BOTH,False,0,53,63,89,0,True
171,51.5,1.34,112.2,0.66,2.1,104,51.0,2.64,67,52.2,1.29,quiet_e1100,fly_spot_40_25,1430,BOTH,False,0,83,81,7,0,True
188,53.2,1.19,119.8,0.64,2.09,111,55.9,4.45,77,49.4,-0.63,quiet_h2_e1030,fly_mtm_8_8,1430,BOTH,False,0,77,61,50,0,True
171,50.9,1.28,199.5,1.17,2.09,104,50.0,2.13,67,52.2,2.0,quiet_e1100,fly_mtm_20_12,1430,BOTH,False,0,20,31,120,0,True
152,50.7,1.37,257.0,1.69,2.09,93,50.5,2.17,59,50.8,1.94,quiet_mid,fly_frac_1.0_0.8,1430,BOTH,False,0,15,19,118,0,True
188,50.5,1.19,133.2,0.71,2.09,111,51.4,3.61,77,49.4,0.24,quiet_h2_e1030,fly_mtm_10_8,1515,BOTH,False,0,65,69,54,0,True
152,51.3,1.33,196.0,1.29,2.08,93,50.5,2.36,59,52.5,1.66,quiet_mid,fly_mtm_16_15,1430,BOTH,False,0,28,16,108,0,True
152,50.7,1.32,222.5,1.46,2.08,93,48.4,1.87,59,54.2,2.39,quiet_mid,fly_trail_16_3,1515,BOTH,False,0,0,18,109,25,True
127,50.4,1.25,129.5,1.02,2.08,77,46.8,-0.04,50,56.0,5.49,quiet_or4070,fly_trail_12_3,1515,BOTH,False,0,0,24,74,29,True
306,50.3,1.31,302.1,0.99,2.08,152,50.7,2.4,154,50.0,1.78,or29_quiet,fly_trail_8_8,1430,BOTH,False,0,0,77,176,53,True
152,51.3,1.39,348.2,2.29,2.07,93,49.5,1.52,59,54.2,3.05,quiet_mid,fly_frac_1.0_1.2,1515,BOTH,False,0,21,0,131,0,True
171,50.9,1.24,133.4,0.78,2.06,104,50.0,2.35,67,52.2,1.64,quiet_e1100,fly_mtm_10_8,1430,BOTH,False,0,44,48,79,0,True
127,56.7,1.28,147.3,1.16,2.05,77,54.5,1.32,50,60.0,3.48,quiet_or4070,fly_frac_0.4_0.8,1430,BOTH,False,0,36,11,80,0,True
152,52.0,1.3,192.9,1.27,2.05,93,50.5,1.58,59,54.2,2.69,quiet_mid,fly_trail_12_3,1515,BOTH,False,0,0,32,84,36,True
389,52.2,1.28,328.6,0.84,2.03,252,50.8,1.89,137,54.7,2.34,lhhl,fly_trail_8_3,1430,BOTH,False,0,0,98,195,96,True
306,54.2,1.22,217.0,0.71,2.02,152,55.3,2.39,154,53.2,1.69,or29_quiet,fly_mtm_8_8,1515,BOTH,False,0,109,88,109,0,True
187,51.9,1.23,152.2,0.81,2.02,112,50.9,1.89,75,53.3,2.18,quiet,fly_side_14_10_8_10,1430,BOTH,False,0,51,41,95,0,True
127,50.4,1.27,146.4,1.15,2.02,77,46.8,1.46,50,56.0,3.13,quiet_or4070,fly_mtm_20_20,1430,BOTH,False,0,15,9,103,0,True
127,50.4,1.29,150.7,1.19,2.02,77,46.8,1.91,50,56.0,2.21,quiet_or4070,fly_trail_16_8,1430,BOTH,False,0,0,12,103,12,True
154,51.9,1.24,123.3,0.8,2.01,93,51.6,2.49,61,52.5,1.41,quiet_e1030,fly_side_12_8_6_8,1430,BOTH,False,0,49,45,60,0,True
205,51.7,1.2,136.3,0.66,2.01,121,54.5,3.66,84,47.6,0.29,quiet_h2,fly_trail_8_3,1430,BOTH,False,0,0,64,84,57,True
