day,direction,reason,dte,S0,S1,intrinsic_pnl,net0_10,net1_10,mtm_10,net0_12,net1_12,mtm_12,net0_15,net1_15,mtm_15,net0_20,net1_20,mtm_20
2023-09-25,LONG,STOP,3,19676.8,19651.8,-7.5,-7.0,-8.45,-1.44,-9.59,-10.94,-1.35,-12.36,-13.54,-1.18,-15.28,-16.22,-0.95
2023-09-25,SHORT,STOP,3,19650.0,19675.0,-7.5,-8.66,-10.42,-1.75,-11.19,-12.76,-1.57,-13.85,-15.18,-1.33,-16.63,-17.67,-1.04
2023-09-27,SHORT,TARGET,1,19605.25,19555.25,42.5,-2.28,-1.45,0.84,-5.38,-4.59,0.79,-8.84,-8.13,0.7,-12.63,-12.06,0.58
2023-09-27,LONG,TARGET,1,19629.25,19679.25,42.5,-0.1,0.71,0.81,-3.09,-2.27,0.82,-6.62,-5.85,0.77,-10.64,-9.99,0.65
2023-10-16,LONG,TARGET,3,19730.05,19780.05,42.5,-7.26,-6.98,0.28,-9.83,-9.58,0.25,-12.57,-12.36,0.21,-15.45,-15.28,0.16
2023-10-23,LONG,STOP,3,19539.3,19514.3,-7.5,-7.76,-9.33,-1.57,-10.3,-11.73,-1.43,-12.98,-14.22,-1.23,-15.78,-16.76,-0.98
2023-10-23,SHORT,TARGET,3,19510.3,19460.3,42.5,-7.76,-7.4,0.36,-10.37,-10.04,0.32,-13.14,-12.86,0.28,-16.07,-15.85,0.22
2023-11-13,SHORT,HARD_EXIT,3,19463.1,19442.6,13.0,-7.57,-7.25,0.32,-10.19,-9.96,0.23,-12.99,-12.82,0.17,-15.95,-15.83,0.12
2023-11-13,LONG,STOP,3,19477.1,19452.1,-7.5,-6.85,-8.3,-1.45,-9.45,-10.81,-1.36,-12.24,-13.43,-1.19,-15.18,-16.14,-0.95
2023-11-23,SHORT,HARD_EXIT,0,19836.55,19802.85,26.200000000000728,3.73,0.0,-3.73,0.2,0.0,-0.2,-3.94,0.0,3.94,-8.66,0.0,8.66
2023-11-28,SHORT,STOP,2,19820.95,19845.95,-7.5,-4.94,-6.4,-1.46,-7.78,-9.19,-1.42,-10.89,-12.17,-1.27,-14.27,-15.31,-1.04
2023-11-28,LONG,TARGET,2,19829.7,19879.7,42.5,-4.06,-3.57,0.49,-6.9,-6.45,0.46,-10.05,-9.65,0.4,-13.46,-13.14,0.32
2023-12-01,LONG,HARD_EXIT,6,20254.45,20267.95,6.0,-12.99,-13.15,-0.16,-14.86,-15.01,-0.15,-16.76,-16.89,-0.13,-18.67,-18.78,-0.11
2023-12-08,LONG,STOP,6,20991.7,20966.7,-7.5,-12.62,-14.0,-1.39,-14.53,-15.73,-1.2,-16.48,-17.48,-0.99,-18.45,-19.22,-0.76
