n,wr,pf,total,avg,sharpe,n1,wr1,sh1,n2,wr2,sh2,signals,vehicle,side,passed
42,61.9,1.52,56.1,1.33,2.77,21,61.9,2.52,21,61.9,2.94,g58_18_1015,trail_6_3,PE,True
42,61.9,1.56,66.4,1.58,2.73,22,72.7,5.16,20,50.0,1.83,g62_x_1000,trail_8_5,PE,True
42,61.9,1.56,66.4,1.58,2.73,22,72.7,5.16,20,50.0,1.83,g65_x_1000,trail_8_5,PE,True
42,54.8,1.91,184.0,4.38,2.69,22,59.1,3.19,20,50.0,2.04,g62_x_1000,hold,PE,True
42,54.8,1.91,184.0,4.38,2.69,22,59.1,3.19,20,50.0,2.04,g65_x_1000,hold,PE,True
43,55.8,1.92,185.7,4.32,2.68,22,59.1,3.19,21,52.4,2.04,g58_x_1000,hold,PE,True
43,55.8,1.92,185.7,4.32,2.68,22,59.1,3.19,21,52.4,2.04,g60_x_1000,hold,PE,True
44,52.3,1.91,186.7,4.24,2.66,22,50.0,2.84,22,54.5,2.4,g55_30_1000,hold,PE,True
44,52.3,1.91,186.7,4.24,2.66,22,50.0,2.84,22,54.5,2.4,g55_35_1000,hold,PE,True
37,51.4,1.53,74.5,2.01,2.65,18,50.0,4.13,19,52.6,1.38,g55_18_1000,mtm_20_10,PE,True
46,60.9,1.47,56.6,1.23,2.57,23,60.9,2.16,23,60.9,2.91,g55_18_1015,trail_6_3,PE,True
45,60.0,1.47,57.6,1.28,2.56,23,56.5,0.95,22,63.6,4.06,g58_22_1015,trail_6_3,PE,True
37,56.8,1.48,49.1,1.33,2.5,18,61.1,4.65,19,52.6,1.61,g55_18_1000,trail_8_4,PE,True
47,53.2,1.83,181.1,3.85,2.49,24,54.2,2.9,23,52.2,1.97,g55_x_1000,hold,PE,True
40,55.0,1.51,57.6,1.44,2.49,21,57.1,3.04,19,52.6,2.41,g50_18_1000,trail_8_5,PE,True
47,59.6,1.5,65.8,1.4,2.48,24,66.7,4.06,23,52.2,1.96,g55_x_1000,trail_8_5,PE,True
43,62.8,1.47,55.5,1.29,2.48,22,72.7,5.4,21,52.4,1.1,g58_x_1000,trail_8_4,PE,True
43,62.8,1.47,55.5,1.29,2.48,22,72.7,5.4,21,52.4,1.1,g60_x_1000,trail_8_4,PE,True
40,57.5,1.51,57.2,1.43,2.47,20,65.0,5.04,20,50.0,1.62,g55_22_1000,trail_8_5,PE,True
36,61.1,1.48,46.9,1.3,2.47,18,72.2,6.87,18,50.0,0.55,g58_22_1000,trail_8_4,PE,True
36,61.1,1.48,46.9,1.3,2.47,18,72.2,6.87,18,50.0,0.55,g60_22_1000,trail_8_4,PE,True
32,56.2,1.68,98.2,3.07,2.45,16,56.2,0.45,16,56.2,3.46,g62_18_1000,hold,PE,True
32,56.2,1.68,98.2,3.07,2.45,16,56.2,0.45,16,56.2,3.46,g65_18_1000,hold,PE,True
33,57.6,1.69,99.9,3.03,2.45,16,56.2,0.45,17,58.8,3.42,g58_18_1000,hold,PE,True
33,57.6,1.69,99.9,3.03,2.45,16,56.2,0.45,17,58.8,3.42,g60_18_1000,hold,PE,True
42,61.9,1.46,53.8,1.28,2.43,22,72.7,5.4,20,50.0,1.0,g62_x_1000,trail_8_4,PE,True
42,61.9,1.46,53.8,1.28,2.43,22,72.7,5.4,20,50.0,1.0,g65_x_1000,trail_8_4,PE,True
35,60.0,1.46,45.3,1.29,2.42,18,72.2,6.87,17,47.1,0.43,g62_22_1000,trail_8_4,PE,True
35,60.0,1.46,45.3,1.29,2.42,18,72.2,6.87,17,47.1,0.43,g65_22_1000,trail_8_4,PE,True
49,59.2,1.43,58.2,1.19,2.4,25,56.0,0.72,24,62.5,3.94,g55_22_1015,trail_6_3,PE,True
45,57.8,1.42,54.9,1.22,2.36,22,54.5,0.67,23,60.9,3.79,g62_25_1015,trail_6_3,PE,True
45,57.8,1.42,54.9,1.22,2.36,22,54.5,0.67,23,60.9,3.79,g62_28_1015,trail_6_3,PE,True
45,57.8,1.42,54.9,1.22,2.36,22,54.5,0.67,23,60.9,3.79,g65_25_1015,trail_6_3,PE,True
45,57.8,1.42,54.9,1.22,2.36,22,54.5,0.67,23,60.9,3.79,g65_28_1015,trail_6_3,PE,True
46,58.7,1.42,55.5,1.21,2.36,22,54.5,0.67,24,62.5,3.76,g60_25_1015,trail_6_3,PE,True
46,58.7,1.42,55.5,1.21,2.36,22,54.5,0.67,24,62.5,3.76,g60_28_1015,trail_6_3,PE,True
36,55.6,1.38,39.3,1.09,2.35,18,61.1,5.79,18,50.0,-1.19,g58_22_1000,mtm_8_6,PE,True
36,55.6,1.38,39.3,1.09,2.35,18,61.1,5.79,18,50.0,-1.19,g60_22_1000,mtm_8_6,PE,True
42,57.1,1.37,44.9,1.07,2.35,21,52.4,1.99,21,61.9,2.72,g58_18_1015,mtm_8_6,PE,True
39,56.4,1.37,41.9,1.07,2.35,19,52.6,1.94,20,60.0,2.72,g62_18_1015,mtm_8_6,PE,True
39,56.4,1.37,41.9,1.07,2.35,19,52.6,1.94,20,60.0,2.72,g65_18_1015,mtm_8_6,PE,True
40,57.5,1.37,42.5,1.06,2.35,19,52.6,1.94,21,61.9,2.72,g60_18_1015,mtm_8_6,PE,True
40,60.0,1.47,55.3,1.38,2.34,20,70.0,4.47,20,50.0,1.57,g58_30_1000,trail_8_5,PE,True
40,60.0,1.47,55.3,1.38,2.34,20,70.0,4.47,20,50.0,1.57,g58_35_1000,trail_8_5,PE,True
40,60.0,1.47,55.3,1.38,2.34,20,70.0,4.47,20,50.0,1.57,g60_30_1000,trail_8_5,PE,True
40,60.0,1.47,55.3,1.38,2.34,20,70.0,4.47,20,50.0,1.57,g60_35_1000,trail_8_5,PE,True
48,60.4,1.41,52.7,1.1,2.32,25,60.0,1.68,23,60.9,2.91,g50_18_1015,trail_6_3,PE,True
39,59.0,1.46,53.7,1.38,2.3,20,70.0,4.47,19,47.4,1.49,g62_30_1000,trail_8_5,PE,True
39,59.0,1.46,53.7,1.38,2.3,20,70.0,4.47,19,47.4,1.49,g62_35_1000,trail_8_5,PE,True
39,59.0,1.46,53.7,1.38,2.3,20,70.0,4.47,19,47.4,1.49,g65_30_1000,trail_8_5,PE,True
39,59.0,1.46,53.7,1.38,2.3,20,70.0,4.47,19,47.4,1.49,g65_35_1000,trail_8_5,PE,True
46,56.5,1.36,48.3,1.05,2.3,23,52.2,1.95,23,60.9,2.65,g55_18_1015,mtm_8_6,PE,True
